date,product,region,amount,quantity
2023-05-17,Motherboard,West,1453.46,47
2024-03-05,Processor,Central,26.44,30
2023-02-28,Mouse,South,746.64,32
2023-01-15,Headphones,West,1857.05,34
2024-12-13,Laptop,Central,1465.72,18
2023-03-19,Power Supply,Central,1918.36,46
2024-10-29,Processor,South,1653.7,23
2023-07-04,External Drive,Central,1584.21,38
2024-08-07,Desk,West,179.54,49
2023-03-17,Graphics Card,North,1436.69,14
2024-03-09,Keyboard,West,1070.97,50
2024-03-27,Processor,Central,355.29,5
2023-10-05,External Drive,South,94.95,29
2024-04-23,SSD,North,357.42,34
2023-12-22,Chair,West,871.41,39
2023-09-28,Processor,East,127.66,2
2023-10-30,Keyboard,Central,1544.65,33
2023-01-02,Mouse,Central,1070.34,29
2023-12-20,RAM,East,1565.13,38
2024-07-14,Cooling Fan,East,981.25,15
2023-07-29,External Drive,West,1734.64,45
2023-12-22,Desk,South,718.0,8
2024-07-31,Desk,West,1615.88,27
2023-10-11,RAM,West,232.62,3
2023-01-07,Speaker,North,639.67,26
2024-10-18,Keyboard,West,215.62,6
2024-09-06,Monitor,West,1576.09,8
2024-07-05,Microphone,Central,1426.88,18
2023-04-20,USB Cable,Central,943.34,3
2024-06-02,Graphics Card,East,1810.9,8
2023-04-21,Motherboard,East,1739.1,5
2023-12-30,Speaker,West,1751.84,18
2024-09-29,Desk,West,960.35,6
2024-01-09,Mouse,Central,1608.25,9
2024-05-04,SSD,Central,1537.08,9
2024-12-26,Speaker,Central,1754.45,37
2023-02-12,Cooling Fan,Central,1464.58,6
2024-06-13,Power Supply,Central,1257.42,13
2023-01-20,External Drive,Central,148.43,15
2024-12-07,Laptop,Central,724.06,22
2024-03-04,Mouse,Central,747.55,48
2023-11-04,Motherboard,North,1645.2,19
2023-03-17,Monitor,East,255.21,19
2024-01-03,Mouse,East,1253.77,39
2024-06-24,Keyboard,Central,777.23,34
2023-02-04,Case,Central,966.05,6
2023-09-12,Monitor,South,1250.43,50
2024-05-01,Chair,West,161.95,32
2024-08-10,Processor,Central,851.94,33
2023-10-24,Graphics Card,Central,1123.94,13
2023-05-02,Speaker,North,1552.37,29
2023-08-16,RAM,South,519.95,3
2024-05-17,Microphone,South,1965.29,30
2024-11-28,USB Cable,South,816.14,28
2024-10-19,Speaker,South,1743.61,45
2023-08-06,Laptop,West,855.23,8
2023-05-12,Processor,Central,1793.52,15
2023-06-03,RAM,East,885.81,12
2023-02-11,Keyboard,West,137.8,29
2024-02-05,Speaker,Central,305.51,32
2024-12-30,Webcam,Central,1390.68,33
2023-07-08,Power Supply,West,348.27,28
2023-06-11,Case,South,36.06,25
2023-11-15,Monitor,West,1013.03,17
2023-05-12,Laptop,South,259.76,33
2024-11-19,Desk,East,424.21,2
2024-03-15,Processor,South,410.12,33
2023-09-13,SSD,North,84.6,46
2024-07-16,Motherboard,South,1269.71,7
2024-11-16,Motherboard,Central,1334.8,14
2024-08-25,SSD,North,1959.2,5
2024-05-23,Mouse,East,1372.23,23
2024-01-01,Headphones,Central,506.57,34
2023-10-02,Keyboard,Central,1748.19,42
2024-02-22,Laptop,West,1009.36,27
2024-04-05,USB Cable,Central,18.08,25
2023-02-17,Desk,South,82.24,29
2024-06-09,SSD,East,1193.77,5
2023-11-14,Keyboard,North,791.24,1
2023-06-28,Speaker,Central,950.56,10
2024-06-11,Laptop,Central,1077.58,8
2023-06-20,Processor,South,241.84,30
2024-06-06,External Drive,West,1284.5,50
2024-12-05,Mouse,South,1816.84,37
2023-06-25,Webcam,South,1007.43,47
2024-01-21,Cooling Fan,Central,776.68,37
2024-09-13,Desk,South,1009.49,17
2023-07-18,External Drive,North,1741.13,31
2024-12-19,Mouse,South,108.67,50
2024-07-16,RAM,East,1919.55,28
2024-02-10,Power Supply,Central,525.12,47
2023-10-04,Desk,South,313.86,31
2023-01-19,Graphics Card,East,351.32,5
2023-01-28,Case,Central,904.03,23
2023-02-04,Headphones,East,1532.19,22
2024-12-07,Graphics Card,North,1027.74,38
2023-05-16,RAM,Central,1204.34,2
2023-11-28,SSD,East,403.33,43
2024-07-31,Laptop,South,241.67,21
2024-12-12,External Drive,North,1859.22,6
2024-11-08,Microphone,South,1952.23,11
2023-11-14,Motherboard,Central,869.71,20
2023-11-01,Motherboard,East,957.85,42
2024-06-19,Motherboard,North,1040.97,11
2023-05-23,Keyboard,Central,1363.36,12
2024-06-05,Power Supply,East,380.19,31
2024-06-24,Headphones,South,217.77,12
2024-09-30,Monitor,East,233.73,23
2023-04-29,Microphone,Central,930.35,34
2023-12-30,Case,South,1769.84,50
2023-01-16,Desk,East,1931.05,41
2024-12-15,Microphone,South,788.27,47
2023-04-28,Motherboard,East,378.62,4
2024-03-02,Webcam,South,1492.72,48
2023-05-06,Chair,North,933.42,2
2024-11-16,RAM,South,1641.25,27
2024-06-14,Webcam,South,119.38,19
2023-01-18,RAM,North,1884.62,30
2023-03-29,Graphics Card,South,483.1,17
2024-03-31,Laptop,Central,1680.71,30
2024-07-16,Desk,North,1478.48,37
2023-06-08,Motherboard,Central,739.17,36
2024-02-01,External Drive,East,1136.81,24
2023-05-11,USB Cable,North,1727.06,35
2024-09-09,Chair,Central,877.24,2
2023-10-14,USB Cable,South,108.83,49
2024-12-20,Graphics Card,East,504.82,5
2023-06-19,Monitor,North,850.94,32
2024-09-30,USB Cable,East,914.78,5
2023-12-26,RAM,East,1838.8,23
2024-07-04,Mouse,West,621.14,28
2024-09-08,Desk,South,740.28,12
2024-02-17,Laptop,South,562.07,23
2024-01-20,Microphone,North,120.15,22
2023-01-23,Webcam,West,1626.97,26
2024-09-19,External Drive,Central,1779.13,7
2024-12-21,USB Cable,South,1412.82,35
2024-07-05,Cooling Fan,West,58.44,2
2024-11-24,USB Cable,South,52.94,48
2024-09-08,Headphones,South,1919.47,19
2024-07-14,Keyboard,South,272.54,9
2023-12-29,Power Supply,West,969.08,7
2023-12-18,Headphones,South,125.71,44
2024-12-29,Case,North,917.77,43
2024-02-03,SSD,South,773.01,14
2023-02-16,Keyboard,West,171.96,11
2023-06-18,Graphics Card,South,1490.67,11
2024-09-15,Monitor,Central,140.86,30
2024-01-15,Processor,West,1612.89,11
2024-04-07,Power Supply,South,1962.54,11
2023-02-09,RAM,West,370.58,37
2023-01-22,Chair,East,714.04,49
2024-06-25,Webcam,South,733.81,7
2024-06-18,Desk,Central,1635.06,3
2023-02-28,RAM,East,748.69,9
2024-11-17,Keyboard,Central,1794.55,48
2024-07-08,Graphics Card,South,1115.28,41
2023-12-10,Graphics Card,North,831.91,40
2023-04-13,Mouse,East,986.35,46
2023-06-25,Chair,North,934.57,31
2024-06-12,Chair,Central,639.17,34
2024-02-27,USB Cable,South,126.77,47
2024-08-23,Speaker,North,1201.35,16
2023-10-10,Speaker,East,215.69,40
2023-07-30,Monitor,South,1669.87,37
2024-01-10,Keyboard,East,579.27,40
2023-04-15,Mouse,West,702.63,40
2023-02-25,Desk,Central,1408.15,10
2023-04-02,SSD,West,460.09,15
2024-09-13,Chair,East,1278.63,8
2024-02-02,Graphics Card,South,1864.75,11
2023-11-12,Keyboard,Central,1665.22,26
2023-08-22,Monitor,South,157.69,24
2023-04-25,Power Supply,Central,1451.89,10
2024-10-01,External Drive,North,1876.36,46
2024-07-22,Case,North,1073.46,32
2024-09-16,SSD,West,1953.04,40
2024-10-02,Case,East,1606.21,19
2023-10-28,Graphics Card,West,1327.42,31
2023-08-03,SSD,North,1053.33,7
2024-06-05,Processor,South,384.84,7
2023-08-06,Cooling Fan,West,1127.61,38
2023-12-08,Microphone,South,1810.3,48
2024-12-16,Power Supply,West,258.52,18
2024-06-20,Microphone,West,523.65,16
2023-10-02,Microphone,South,1206.48,24
2023-06-01,Headphones,Central,802.47,44
2023-12-02,Speaker,Central,962.22,41
2023-03-25,Power Supply,East,197.09,40
2023-09-02,Keyboard,North,820.9,43
2024-08-20,Webcam,South,734.77,21
2024-08-19,Mouse,South,242.15,13
2024-08-10,Chair,East,1005.56,47
2024-03-01,Keyboard,Central,1752.94,39
2023-01-13,Mouse,West,285.36,40
2023-07-01,Power Supply,West,846.39,26
2023-11-15,Monitor,East,1197.43,34
2023-03-13,USB Cable,Central,1775.46,11
2023-03-11,Case,North,186.08,2
2023-12-04,Motherboard,East,1963.3,49
2024-12-28,Webcam,North,152.24,40
2024-02-10,Mouse,Central,1136.6,48
2024-07-02,Desk,Central,1653.71,13
2023-12-28,External Drive,East,541.71,42
2024-02-29,Desk,South,738.51,14
2024-08-05,Motherboard,South,509.57,8
2023-02-05,Case,West,68.59,7
2023-06-04,RAM,West,1277.87,20
2024-08-19,Motherboard,East,1073.2,23
2024-11-25,Speaker,West,373.0,18
2023-04-10,Webcam,East,538.02,12
2023-12-23,Case,North,1729.01,8
2023-04-08,Chair,East,1147.53,5
2023-01-20,Laptop,West,1766.04,44
2024-04-02,Headphones,East,350.79,29
2023-01-03,Webcam,North,1213.49,4
2023-07-29,Microphone,North,1273.1,29
2023-07-23,RAM,North,1592.76,44
2023-01-16,Keyboard,South,1912.87,29
2023-01-02,Graphics Card,East,414.57,43
2023-07-13,Headphones,East,860.47,25
2023-09-30,Laptop,Central,1729.08,14
2023-11-06,Microphone,South,610.7,25
2024-11-23,USB Cable,Central,1715.84,35
2023-07-09,Speaker,North,1049.99,19
2024-05-27,Keyboard,East,185.23,25
2024-02-28,Webcam,East,1207.15,47
2024-07-06,Mouse,Central,598.2,26
2024-08-07,Processor,East,1547.58,16
2024-10-19,External Drive,Central,1572.4,49
2023-01-13,Desk,East,523.08,38
2023-09-12,RAM,East,1700.97,9
2024-02-03,Headphones,South,933.39,20
2023-01-03,Desk,South,1453.81,25
2024-01-18,Power Supply,East,1929.99,29
2024-10-21,Graphics Card,North,1561.43,5
2024-03-03,Headphones,North,909.59,38
2023-03-15,Motherboard,Central,517.21,7
2023-06-11,Chair,Central,575.05,29
2024-08-15,Chair,South,261.86,47
2024-04-04,SSD,North,1650.97,39
2024-01-04,Cooling Fan,West,785.28,36
2024-04-04,Webcam,Central,672.61,30
2023-01-06,Desk,Central,565.09,14
2023-07-17,RAM,North,645.31,24
2023-03-11,Headphones,North,1977.45,25
2023-06-22,Laptop,East,102.66,11
2023-10-30,Power Supply,Central,1050.74,24
2024-12-03,Monitor,North,644.17,1
2024-06-03,Microphone,East,955.64,38
2023-12-01,Processor,Central,441.48,41
2024-12-31,Chair,South,175.0,16
2023-07-14,RAM,West,413.57,20
2024-03-21,Webcam,East,449.79,7
2024-08-09,Keyboard,South,1819.87,19
2024-03-15,USB Cable,East,1507.61,10
2023-01-05,SSD,West,793.65,8
2024-05-18,Motherboard,West,526.92,11
2023-01-22,Headphones,North,1405.13,36
2023-07-20,Headphones,East,250.15,18
2023-07-17,Power Supply,West,1810.59,4
2024-12-21,Chair,East,1246.18,41
2023-08-06,USB Cable,Central,1096.59,3
2023-11-21,Laptop,North,648.29,26
2024-12-09,Headphones,North,1084.62,41
2023-08-16,Microphone,North,667.93,10
2024-06-27,Monitor,Central,609.4,5
2024-04-18,Webcam,Central,101.84,42
2023-11-28,Monitor,West,959.35,23
2023-03-18,Webcam,West,1977.45,27
2024-07-12,Laptop,West,1872.62,35
2023-05-22,Keyboard,North,1845.25,2
2024-01-20,USB Cable,Central,1625.21,23
2023-08-01,Processor,North,412.87,11
2024-02-23,RAM,Central,143.04,34
2024-08-11,Processor,North,1631.68,4
2023-04-13,SSD,North,1145.19,50
2024-09-25,Motherboard,North,1302.3,20
2024-10-31,Microphone,East,334.1,25
2024-12-02,Webcam,Central,577.7,28
2024-06-27,Monitor,South,767.38,17
2024-04-21,External Drive,North,1832.41,47
2024-10-26,External Drive,West,1100.8,14
2024-10-08,Case,West,826.68,31
2023-04-18,Processor,East,764.94,50
2023-08-23,Chair,Central,1239.8,8
2023-04-09,Desk,South,1659.76,40
2023-04-17,External Drive,East,727.05,13
2024-11-05,Chair,West,537.68,41
2023-10-17,SSD,East,1825.25,24
2023-06-24,Headphones,South,1169.64,8
2023-06-28,Desk,South,67.62,49
2024-10-10,Microphone,North,1412.98,25
2024-06-24,Laptop,North,1853.6,45
2024-11-12,Keyboard,Central,1067.1,38
2024-04-21,External Drive,North,1826.34,8
2023-12-12,Monitor,West,1656.27,39
2024-04-02,Mouse,West,1627.54,38
2024-04-02,Mouse,East,122.66,5
2023-11-16,Power Supply,Central,830.67,27
2024-05-24,Case,Central,1035.11,38
2023-02-14,USB Cable,South,379.76,48
2023-08-19,Graphics Card,West,1070.72,1
2024-03-23,Desk,East,1341.14,5
2023-06-22,Motherboard,West,1424.21,32
2024-08-02,RAM,South,332.95,38
2023-09-10,Processor,Central,645.42,38
2024-09-07,Power Supply,North,606.1,3
2023-06-16,Processor,East,1216.49,5
2023-06-24,Processor,Central,807.43,39
2024-12-04,SSD,North,1679.49,38
2024-11-19,Mouse,North,505.23,21
2023-02-25,Webcam,South,1353.63,22
2024-04-19,Mouse,West,1333.58,24
2024-05-09,Keyboard,North,1608.51,44
2023-09-25,Webcam,East,596.9,19
2023-06-08,Headphones,East,1476.76,9
2024-02-02,Keyboard,North,1686.85,23
2023-08-29,Chair,Central,1399.42,38
2024-01-23,Headphones,East,272.52,43
2023-12-09,Power Supply,South,643.44,2
2024-10-23,External Drive,West,1849.14,16
2023-12-30,SSD,South,1930.14,23
2023-02-15,Laptop,South,863.63,33
2023-09-05,Motherboard,North,1160.53,32
2024-10-21,USB Cable,West,1688.16,26
2024-02-18,Desk,East,1299.53,42
2023-01-03,Chair,East,887.4,17
2023-06-09,Speaker,East,491.16,18
2024-07-04,External Drive,East,1638.89,40
2023-04-07,Webcam,West,1761.21,30
2024-02-24,Power Supply,East,1078.66,41
2023-12-18,Microphone,South,1150.88,36
2024-12-07,USB Cable,Central,1448.32,38
2024-11-20,SSD,North,687.43,43
2024-11-11,SSD,South,1211.58,46
2024-12-23,Keyboard,West,145.81,47
2023-10-26,Keyboard,North,1661.56,42
2023-08-02,SSD,Central,1014.49,4
2024-02-07,Mouse,South,149.39,44
2023-12-08,Webcam,East,1613.31,25
2023-01-10,Speaker,North,733.99,49
2024-04-07,Case,North,477.36,50
2023-02-10,USB Cable,West,1659.28,38
2024-12-02,SSD,West,1247.0,40
2023-09-29,SSD,Central,619.37,45
2024-09-23,Cooling Fan,South,1150.92,26
2023-04-15,Laptop,West,1869.06,44
2024-03-01,Motherboard,South,1842.64,6
2023-07-25,Webcam,West,439.68,7
2023-04-03,Desk,Central,1372.46,1
2024-06-05,External Drive,Central,1960.04,13
2023-03-27,SSD,West,1120.12,14
2024-03-27,Laptop,North,1410.05,38
2023-08-21,Motherboard,East,462.75,45
2023-08-19,Webcam,Central,430.99,11
2023-01-23,Mouse,Central,1569.16,44
2023-12-23,USB Cable,East,711.75,21
2024-02-15,Monitor,North,1378.09,10
2024-04-15,Headphones,East,1387.51,26
2023-12-13,Keyboard,North,1152.89,18
2024-10-21,Headphones,West,1396.35,20
2023-04-02,Laptop,South,1092.21,16
2023-03-16,Chair,West,1340.97,10
2023-10-05,Power Supply,Central,1208.14,2
2024-01-01,Speaker,South,879.21,35
2024-09-25,Laptop,Central,916.67,25
2023-04-26,Microphone,West,1874.06,7
2024-03-16,Laptop,West,1321.58,4
